question,summary_answer,difficulty,intent,filename
how to combine multiple descriptors,You can combine multiple descriptors in a single Dataset by passing them as a list to enhance evaluation results across different text features.,intermediate,code,docs/library/descriptors.mdx
Python imports for descriptors,"The guide outlines necessary imports from Evidently for implementing descriptors in text evaluations, ensuring proper utilization of the library's functionalities.",beginner,code,docs/library/descriptors.mdx
checking conditions with descriptor tests,"Descriptor Tests allow defining pass/fail checks for evaluations, enabling the assessment of conditions like text length or sentiment positivity for each row.",intermediate,code,docs/library/descriptors.mdx
generate toy data for testing descriptors,The article provides a code snippet to create sample data for testing the evaluation process using descriptors in Python.,beginner,code,docs/library/descriptors.mdx
exporting results from descriptors,You can preview and export the results of evaluations as a DataFrame or in various formats such as HTML and JSON for further analysis.,intermediate,code,docs/library/descriptors.mdx
advanced testing in dataset-level reports,The article discusses integrating tests into dataset-level metrics to generate clear pass/fail results for comprehensive evaluations of text characteristics.,advanced,code,docs/library/descriptors.mdx
configuring text evaluation reports,Custom reports can be tailored to use specific descriptors or metrics for more focused evaluation results in text datasets.,advanced,text,docs/library/descriptors.mdx
evidently evaluation workflow steps,"The article outlines the core steps of the evaluation workflow with Evidently, including data preparation, creating a Dataset object, and running evaluations.",beginner,text,docs/library/evaluations_overview.mdx
how to create a Dataset in evidently,"To create a Dataset in Evidently, you use the `Dataset.from_pandas()` method along with a `DataDefinition()` specifying column roles and types.",intermediate,code,docs/library/evaluations_overview.mdx
adding metadata to evidently evaluation results,"You can enhance your evaluation results in Evidently by adding tags or metadata to identify specific runs, which helps in organizing evaluations.",advanced,code,docs/library/evaluations_overview.mdx
generate multiple metrics at once,The article explains how to use metric generator helper functions to generate multiple metrics for dataset columns in a streamlined manner.,beginner,text,docs/library/metric_generator.mdx
ColumnMetricGenerator example code,It provides examples of using the ColumnMetricGenerator to apply metrics like ValueDrift to columns in datasets with Python code snippets.,intermediate,code,docs/library/metric_generator.mdx
exporting reports in JSON format,"The article explains how to export evaluation results as JSON using the `my_report.json()` method, allowing easy storage and export of results.",beginner,code,docs/library/output_formats.mdx
Evidently library features,"The Evidently library offers various features for AI/ML evaluations, synthetic data generation, prompt optimization, and a visualization UI to track evaluations over time.",beginner,text,docs/library/overview.mdx
AI/ML evaluations in Evidently,"Evidently provides over 100 built-in metrics and checks to run evaluations on AI systems, offering results in formats like JSON, DataFrames, and visual reports.",beginner,code,docs/library/overview.mdx
Generate visual reports Evidently,"You can generate visual reports in formats compatible with Jupyter, Colab, or as HTML files, which display multiple metrics and evaluation results.",beginner,code,docs/library/overview.mdx
Synthetic data generation Evidently,"Evidently helps generate structured synthetic data primarily designed for LLM use cases, allowing for the creation of test datasets for AI applications.",beginner,code,docs/library/overview.mdx
Prompt optimization tools,"The Evidently library includes tools for optimizing prompts using evaluation capabilities, which can help users generate better prompts based on feedback and targets.",beginner,code,docs/library/overview.mdx
Setup tracking and visualization UI,"Evidently offers a lightweight UI for tracking and visualizing evaluation results over time, allowing users to store and compare evaluations.",beginner,code,docs/library/overview.mdx
Export metrics and reports,"You can export evaluation scores as JSON, pandas DataFrames, or generate visual reports, facilitating integration into various workflows.",beginner,code,docs/library/overview.mdx
Descriptors in Evidently library,"Descriptors provide row-level assessments for specific qualities of text, enabling detailed evaluations of outputs from AI systems.",intermediate,text,docs/library/overview.mdx
Creating a Dataset object in Evidently,"To run evaluations, you must create a Dataset object in Evidently, which allows you to map data columns and attach meta-information for processing.",intermediate,code,docs/library/overview.mdx
Evaluating classification quality,"Evidently requires specific columns for evaluating classification quality, mapping actual and predicted labels for insightful comparisons.",intermediate,code,docs/library/overview.mdx
Data drift detection methods,Evidently includes over 20 tests and metrics to detect data drift by comparing current datasets with reference datasets to identify distribution changes.,intermediate,text,docs/library/overview.mdx
Reports and metrics functionality,"Reports in Evidently allow users to summarize and analyze datasets, running evaluations across various metrics and providing visual summaries.",intermediate,code,docs/library/overview.mdx
Conditional tests in Evidently,"Tests in Evidently validate results against specific expectations, allowing users to set conditions for metrics to ensure quality and performance.",intermediate,code,docs/library/overview.mdx
Using metric presets,"Evidently offers metric presets that are pre-configured templates for specific evaluation scenarios, streamlining the process of running evaluations.",intermediate,code,docs/library/overview.mdx
Benefits of using Test Suites,"Test Suites in Evidently allow users to run multiple tests simultaneously, offering a summary of outcomes for effective monitoring and debugging.",intermediate,text,docs/library/overview.mdx
Automating evaluations with Evidently,"You can integrate Evidently's evaluation capabilities into automation workflows, triggering actions based on test results within your data pipeline.",advanced,code,docs/library/overview.mdx
Edge cases in dataset evaluations,Advanced users can explore various edge cases when evaluating datasets in Evidently by customizing tests and metrics according to specific scenarios.,advanced,code,docs/library/overview.mdx
Comparing datasets in evaluations,"Evidently allows comparisons between two datasets, which is useful for side-by-side evaluations or detecting data drift over time.",advanced,text,docs/library/overview.mdx
Handling large datasets in Evidently,"When working with large datasets, it is advisable to apply sampling methods to optimize performance during evaluations in the Evidently library.",advanced,text,docs/library/overview.mdx
generate reports with Evidently,"This article explains how to use the Evidently library to generate reports, including step-by-step instructions and code examples.",beginner,code,docs/library/report.mdx
Evidently report presets,"The article discusses the use of Metric Presets in Evidently to create reports that are ready to use out of the box, along with examples of generating specific reports.",intermediate,code,docs/library/report.mdx
Data Summary Report example,"An example of generating a Data Summary Report using Evidently is provided, demonstrating how to create and run a report on a single dataset.",beginner,code,docs/library/report.mdx
compare results in Evidently reports,"The article details how to compare multiple report snapshots side-by-side using the compare function in Evidently, aiding in result analysis.",advanced,code,docs/library/report.mdx
how to add metadata to Evidently reports,"The article explains how to incorporate metadata into reports by using Python dictionaries for key:value pairs, enhancing report categorization and filtering capabilities.",beginner,code,docs/library/tags_metadata.mdx
custom tags and metadata examples Evidently,"The article includes code examples showing how to create custom tags and metadata for reports, allowing users to tailor their evaluations based on specific criteria or contexts.",intermediate,code,docs/library/tags_metadata.mdx
how to import testing modules evidently,"To use Tests, import the following modules: from evidently import Report, from evidently.metrics import *, from evidently.presets import *, from evidently.tests import *.",beginner,code,docs/library/tests.mdx
types of tests in evidently,"The article discusses three ways to implement Tests: Tests Presets, Tests with defaults, and Custom Tests, allowing for flexible data validation.",beginner,text,docs/library/tests.mdx
example of using test presets evidently,"You can enable Test Presets by setting include_tests=True in the Report, which automatically generates a suite of Tests for your data evaluation.",intermediate,code,docs/library/tests.mdx
custom test conditions examples evidently,"You can define specific pass/fail conditions for each Test by using parameters like gt, lt, eq while creating a Report instance.",intermediate,code,docs/library/tests.mdx
using reference dataset for tests evidently,"When using a reference dataset, Tests will compare new data against it to validate conditions, such as checking for missing values.",intermediate,code,docs/library/tests.mdx
difference between include_tests True and False,"Setting include_tests=True adds Tests to your Report while False excludes them, allowing flexibility in what validations to include.",intermediate,text,docs/library/tests.mdx
how to run personalized tests evidently,"You can run personalized tests by selecting specific Metrics and setting conditions manually, giving you control over the validation process.",beginner,code,docs/library/tests.mdx
setting warning vs fail for tests evidently,"You can configure Tests to return a Warning instead of a Fail by setting is_critical=False, helping to manage alert fatigue.",advanced,code,docs/library/tests.mdx
conditions for testing share vs absolute evidently,"The article explains how to set conditions for testing both share and absolute values, using parameters like tests for absolute and share_tests for relative comparisons.",advanced,text,docs/library/tests.mdx
set up alerts in Evidently,"The article provides a step-by-step guide on setting up alerts in Evidently, including choosing notification channels like Email or Slack and defining alert conditions based on test failures or custom metric values.",beginner,code,docs/platform/alerts.mdx
add panel to dashboard api example,"The article provides code examples on how to add panels to a dashboard using the Python API, including multiple types of panels.",beginner,code,docs/platform/dashboard_add_panels.mdx
dashboard management api,"It details how to manage dashboards programmatically, including adding and deleting tabs and panels using the Python API.",beginner,text,docs/platform/dashboard_add_panels.mdx
evidently dashboard panels,The article explains how to utilize Evidently's API to create and customize dashboard panels for reporting purposes.,beginner,text,docs/platform/dashboard_add_panels.mdx
create new tab in dashboard api,The article specifies how to use the API to create new tabs in a dashboard with the example code provided for `add_tab`.,beginner,code,docs/platform/dashboard_add_panels.mdx
delete panel from dashboard,"Code snippets are provided to delete specific panels from the dashboard, helping users manage their dashboard effectively.",intermediate,code,docs/platform/dashboard_add_panels.mdx
python api clear dashboard example,This article explains how to clear all panels and tabs from a dashboard using the `clear_dashboard` method in Python.,intermediate,code,docs/platform/dashboard_add_panels.mdx
dashboard panel plot types,"It describes different types of panels that can be added, such as text, counters, and plots including bar and line charts.",beginner,text,docs/platform/dashboard_add_panels.mdx
add pie chart to dashboard,There are examples in the article on how to add pie chart panels to a dashboard using various metrics.,intermediate,code,docs/platform/dashboard_add_panels.mdx
panel metric options,"The article summarizes the parameters available for configuring `PanelMetric`, guiding how to specify what to display.",intermediate,text,docs/platform/dashboard_add_panels.mdx
multiple values in dashboard panel,"It provides an example of how to display multiple values in a single panel, particularly with line charts.",advanced,code,docs/platform/dashboard_add_panels.mdx
evidently metrics for dashboard,The article elaborates on how to reference and utilize metrics from Evidently in dashboard panels effectively.,intermediate,text,docs/platform/dashboard_add_panels.mdx
error handling when adding panels api,Users are guided on how to handle potential errors when trying to add panels or tabs that do not exist.,advanced,text,docs/platform/dashboard_add_panels.mdx
api dashboard panel visualization settings,"The article discusses visualization settings for dashboard panels, including how to configure the plot types and sizes.",beginner,text,docs/platform/dashboard_add_panels.mdx
create custom panels in dashboard,"The article explains how to create custom panels in a dashboard by entering 'Edit' mode, clicking 'Add Panel', and following prompts to configure it with relevant metrics.",beginner,code,docs/platform/dashboard_add_panels_ui.mdx
adding tabs in dashboard,"It details the steps to add tabs in a dashboard, including entering 'Edit' mode and using the 'add Tab' option to organize panels.",beginner,code,docs/platform/dashboard_add_panels_ui.mdx
using pre-built dashboard tabs,The article describes how to use pre-built tabs which come with preset panel combinations and rely on having the necessary metrics available.,intermediate,text,docs/platform/dashboard_add_panels_ui.mdx
panel configuration in dashboard,"It provides advanced tips for configuring panels, such as filtering metrics by tags and adjusting plot types, to effectively display data.",advanced,code,docs/platform/dashboard_add_panels_ui.mdx
Dashboard features in Evidently,"The article explains the main features of the Dashboard in Evidently, which allows users to track AI application performance through evaluations and live data quality monitoring.",beginner,text,docs/platform/dashboard_overview.mdx
How to add Panels to Dashboard using Python API,"It details the process of adding Panels to the Dashboard using the Python API, including the necessary parameters and customization options for displaying metrics.",intermediate,code,docs/platform/dashboard_overview.mdx
create dataset in Evidently OSS,"The article explains various methods to create datasets in Evidently OSS, including uploading CSV files through the UI or Python API, and generating synthetic data.",beginner,code,docs/platform/datasets_overview.mdx
what is synthetic data in Evidently,"The article defines synthetic data as datasets generated directly in Evidently Cloud, with options to create them from examples or source documents, highlighting their importance in evaluations.",intermediate,text,docs/platform/datasets_overview.mdx
upload dataset to Evidently,The article details how to prepare and upload a dataset to an Evidently project using the `add_dataset` method in Python or through the UI.,beginner,code,docs/platform/datasets_workflow.mdx
how to include dataset in Reports Evidently,"It explains how to include datasets when uploading reports, using the `include_data` parameter to simultaneously upload the report and associated dataset.",intermediate,code,docs/platform/datasets_workflow.mdx
run evals with Evidently API,"The article provides a guide on using the Evidently API to run evaluations, detailing a simple code example for executing a text evaluation and logging it on the platform.",beginner,code,docs/platform/evals_api.mdx
Evidently eval workflow steps,"The document outlines the complete workflow for running evals, including steps like configuring a report, uploading results, exploring outcomes, and optionally setting up dashboards and alerts.",intermediate,text,docs/platform/evals_api.mdx
view evaluation results on platform,The article explains how to access and explore evaluation results by navigating to the Reports section of your project and using the Explore view to analyze metrics and datasets.,beginner,code,docs/platform/evals_explore.mdx
no code data evaluation steps,"The article outlines steps for evaluating data without coding, including dataset preparation, adding descriptors, and running evaluations using various methods.",beginner,text,docs/platform/evals_no_code.mdx
how to prepare dataset for no code evals,"To prepare a dataset in a no-code interface, you can either upload a CSV file or use an existing dataset from the platform.",beginner,code,docs/platform/evals_no_code.mdx
add descriptors in no code evaluations,"You can add descriptors to your dataset evaluation through the user interface, allowing you to choose evaluation methods and specify checks.",intermediate,code,docs/platform/evals_no_code.mdx
using LLM for no code evaluations,"The article explains how to integrate an LLM provider API key for evaluations, allowing you to classify or score texts directly using LLM models.",advanced,text,docs/platform/evals_no_code.mdx
evals workflow stages AI product,"The article outlines different evaluation stages in AI product development, including ad hoc analysis, experiments, and monitoring, highlighting the importance of each step.",beginner,text,docs/platform/evals_overview.mdx
run evals locally Evidently API examples,"The article explains how to execute evaluations via the Evidently API, offering Python-based workflows for experiments and CI/CD integrations.",intermediate,code,docs/platform/evals_overview.mdx
batch evaluation job example in Evidently,"The article provides a simple code example demonstrating how to run a batch evaluation job using the Dataset and Report classes from the Evidently library, illustrating how to upload dataset stats to the workspace.",beginner,code,docs/platform/monitoring_local_batch.mdx
Evidently batch monitoring workflow steps,"The article outlines the complete workflow for batch monitoring, including steps for configuring metrics, running evaluations, uploading results, and setting up dashboards and alerts.",intermediate,text,docs/platform/monitoring_local_batch.mdx
AI quality monitoring overview,"The article explains AI observability, detailing how quality monitoring facilitates evaluating inputs and outputs of AI applications in production.",beginner,text,docs/platform/monitoring_overview.mdx
batch monitoring setup with Evidently,"It describes how to set up batch monitoring jobs using Evidently, including building evaluation pipelines and running metric calculations.",intermediate,code,docs/platform/monitoring_overview.mdx
tracing with scheduled evaluations,The article outlines how to implement tracing in LLM-powered applications by capturing relevant data and scheduling evaluations using the Evidently platform.,advanced,code,docs/platform/monitoring_overview.mdx
Evidently Platform features overview,"The article summarizes key features of the Evidently Platform, including various evaluation methods, dataset management, synthetic data generation, and monitoring capabilities.",beginner,text,docs/platform/overview.mdx
Using Evidently Python library for evaluations,"The article describes how to run evaluations locally with the Evidently Python library, highlighting no-code options and tracking capabilities for experiments.",intermediate,code,docs/platform/overview.mdx
create project in Evidently,"To create a project, you can either use Python code or the UI, with options for specifying an organization when using the cloud.",beginner,code,docs/platform/projects_manage.mdx
how to connect to an existing project,You can connect to an existing project in Python using the `get_project` method along with the project ID.,intermediate,code,docs/platform/projects_manage.mdx
delete project using UI,"To delete a project using the UI, hover over the project and click the 'delete' button, but note that this action removes all associated data.",beginner,code,docs/platform/projects_manage.mdx
project parameters explained,"The article lists the parameters associated with a project, including name, ID, description, and dashboard configuration, providing a clear understanding of their roles.",advanced,text,docs/platform/projects_manage.mdx
how to organize projects in Evidently,"The article explains how to structure Projects in Evidently based on various criteria like application, model, test scenario, phase, or use case to optimize data management and evaluation.",beginner,text,docs/platform/projects_overview.mdx
LLM tracing overview,"The article defines LLM tracing as a method to instrument AI applications for detailed data collection on their operations, highlighting its importance for performance evaluation and analysis.",beginner,text,docs/platform/tracing_overview.mdx
install tracely package example,The article provides a quick installation command for the `tracely` package using pip: `pip install tracely`.,beginner,code,docs/platform/tracing_setup.mdx
how to initialize tracing with tracely,"To initialize tracing, use the `init_tracing` function with parameters such as `address`, `api_key`, and `project_id` as described in the article.",beginner,code,docs/platform/tracing_setup.mdx
tracing function arguments in tracely,"The article outlines the parameters for the `init_tracing()` function, including `address`, `api_key`, `project_id`, and their corresponding environment variables.",intermediate,text,docs/platform/tracing_setup.mdx
use trace_event decorator in tracely,"You can use the `@trace_event` decorator to collect traces for specific functions in your application, as explained with examples in the article.",beginner,code,docs/platform/tracing_setup.mdx
environment variables for tracely,The article explains how to set parameters like `api_key` and `export_name` using environment variables which correspond to the function arguments.,intermediate,text,docs/platform/tracing_setup.mdx
get export_id for tracing dataset,"To retrieve the `export_id` of your tracing dataset, use the `get_info()` function provided in the `tracely` package as mentioned in the article.",beginner,code,docs/platform/tracing_setup.mdx
creating nested events with tracely,"You can trace multi-step workflows by using nested `@trace_event` decorators, where each function will automatically appear as a child span of the parent trace, as described in the article.",intermediate,code,docs/platform/tracing_setup.mdx
context manager for tracing in tracely,"The article describes how to use a context manager to create trace events, allowing for more control over tracing specific blocks of code without decorators.",intermediate,code,docs/platform/tracing_setup.mdx
set attributes in span using tracely,"You can add attributes to the current span using the `get_current_span()` method to access the active span and set attributes, as shown in the article.",intermediate,code,docs/platform/tracing_setup.mdx
linking events across different systems tracely,"The article explains how to connect events across systems into a single trace using the `tracely.bind_to_trace` method, allowing for complex tracing scenarios.",advanced,text,docs/platform/tracing_setup.mdx
setup Evidently Cloud account steps,"The article outlines how to create an Evidently Cloud account, generate an API token, and connect from Python, providing detailed instructions for beginners.",beginner,code,docs/setup/cloud.mdx
self-host Evidently UI service setup,"The article explains the steps to set up the Evidently UI service for self-hosting, including creating workspaces and launching the service.",beginner,code,docs/setup/self-hosting.mdx
how to create a workspace for Evidently,"It details the process of creating a local or remote workspace to store evaluation results, necessary for utilizing the UI service effectively.",beginner,code,docs/setup/self-hosting.mdx
Evidently UI local vs remote workspace,"The article compares local and remote workspaces, explaining the differences in setup and data storage options for the Evidently UI service.",intermediate,text,docs/setup/self-hosting.mdx
launch Evidently UI service command,Instructions are provided on the terminal commands required to launch the Evidently UI service depending on workspace configurations.,beginner,code,docs/setup/self-hosting.mdx
Evidently UI delete workspace command,"The article warns about the consequences of deleting a workspace and provides the necessary command to do so, emphasizing data loss.",intermediate,code,docs/setup/self-hosting.mdx
automated testing LLM outputs GitHub Actions,"The article explains how to set up automated testing of LLM outputs using Evidently in GitHub Actions, detailing dataset definitions, evaluation methods, and reporting results in CI.",beginner,code,examples/GitHub_actions.mdx
LLM evaluation methods overview,"The article outlines different evaluation methods for LLMs, including API setup and various metrics used for assessment.",beginner,text,examples/LLM_evals.mdx
reference-free evaluation examples,"The article discusses reference-free evaluation techniques such as text statistics and ML models, providing code examples for implementation.",intermediate,code,examples/LLM_evals.mdx
evaluate text with LLM judge,"The article explains how to use an LLM as a judge for evaluating text based on reference and custom criteria, providing coding examples for implementation.",beginner,code,examples/LLM_judge.mdx
setting up LLM evaluator,"Instructions are included on how to set up and run an LLM evaluator, starting with prompt design and dataset creation.",beginner,code,examples/LLM_judge.mdx
create evaluation dataset for LLM,"You can create a toy dataset to evaluate the LLM judge's performance by defining questions, target responses, and manual labels for accuracy assessment.",beginner,code,examples/LLM_judge.mdx
openai API key for LLM,The article details how to pass your OpenAI API key as an environment variable to access the LLM evaluator.,beginner,code,examples/LLM_judge.mdx
reference-based evaluator examples,"Examples of creating a reference-based evaluator using the LLM judge are presented, which involves comparing new responses against predefined correct answers.",intermediate,code,examples/LLM_judge.mdx
how to score data with LLM judge,The tutorial describes how to score your data using the LLM judge by integrating evaluation descriptors into your dataset.,intermediate,code,examples/LLM_judge.mdx
custom criteria for LLM evaluation,"You can define custom evaluation criteria for the LLM judge to assess outputs when no direct reference is available, enhancing flexibility.",intermediate,text,examples/LLM_judge.mdx
installing Evidently for LLM,"Installation instructions for the Evidently package needed to run the LLM judge are provided, including the pip command.",beginner,code,examples/LLM_judge.mdx
preview LLM judge results,The article explains how to preview results of the LLM judge using Pandas DataFrame in Python after running evaluations.,intermediate,code,examples/LLM_judge.mdx
LLM judge accuracy evaluation,"The tutorial assesses the accuracy of the LLM judge by comparing its predictions with manual labels, providing insights into performance.",advanced,text,examples/LLM_judge.mdx
verbosity evaluator setup,"Instructions for setting up a verbosity evaluator with the LLM judge are included, focusing on checking response conciseness.",intermediate,code,examples/LLM_judge.mdx
report generation for LLM evaluations,You will learn to generate reports summarizing the evaluation results of the LLM judge and how to visualize them using Evidently.,intermediate,code,examples/LLM_judge.mdx
create a toy Q&A dataset,"Steps to create a toy Q&A dataset for testing the LLM judge are detailed, including sample questions and responses.",beginner,code,examples/LLM_judge.mdx
using LLMEval for judging,"The article guides you on utilizing LLMEval to implement evaluations with the LLM judge, providing a practical template.",intermediate,code,examples/LLM_judge.mdx
integrating LLM judge into workflows,Tips are provided on integrating the LLM judge into evaluation workflows to enhance testing of prompts and outputs.,advanced,text,examples/LLM_judge.mdx
descriptors for LLM evaluation,You will learn about adding evaluation descriptors to datasets for enhanced analysis of LLM predictions in your model.,intermediate,code,examples/LLM_judge.mdx
evidently cloud platform integration,Information on how to connect your LLM evaluations with the Evidently Cloud platform for better tracking and reporting of results is presented.,intermediate,code,examples/LLM_judge.mdx
managing evaluation datasets,The tutorial teaches how to manage and explore your evaluation datasets systematically within the context of LLM judging.,advanced,text,examples/LLM_judge.mdx
analyzing confusion matrix for LLM performance,The article includes details on analyzing the confusion matrix to evaluate the performance of the LLM judge further.,advanced,text,examples/LLM_judge.mdx
is LLM judge reliable?,"Insights into the reliability and accuracy of the LLM judge are shared, along with metrics to assess its performance.",advanced,text,examples/LLM_judge.mdx
LLM evaluation approach,The article details an evaluation method using multiple LLMs to assess outputs and provides guidance on how to aggregate results or uncover disagreements.,beginner,text,examples/LLM_jury.mdx
how to set up LLM judges,It explains how to configure evaluator LLMs by passing API keys and creating a project in the Evidently Cloud workspace.,beginner,code,examples/LLM_jury.mdx
examples of email evaluation,The article provides toy datasets with user intents and model-generated emails used for judging the appropriateness of email content.,intermediate,code,examples/LLM_jury.mdx
installing Evidently,It outlines the installation process for Evidently and other necessary components needed for LLM evaluation.,beginner,code,examples/LLM_jury.mdx
criteria for evaluating emails,The criteria for what constitutes an appropriate email are defined using the `BinaryClassificationPromptTemplate` in the code example.,intermediate,code,examples/LLM_jury.mdx
steps to create LLM evaluation report,"The article provides detailed steps for running evaluations, exporting data, and generating summary reports for LLM judgments.",intermediate,code,examples/LLM_jury.mdx
understanding judge disagreements,The article describes how to implement custom descriptors to flag disagreements between LLM assessments in email evaluations.,advanced,code,examples/LLM_jury.mdx
Evidently Cloud workspace setup,It discusses optional configuration of an Evidently Cloud workspace for storing and exploring evaluation results.,intermediate,code,examples/LLM_jury.mdx
aggregate LLM outputs,The article explains how to aggregate outputs from multiple LLMs to determine a consensus on email appropriateness.,beginner,text,examples/LLM_jury.mdx
RAG system evaluation metrics,"The article explains the metrics used to evaluate RAG systems, focusing on both retrieval and generation quality, and provides code examples for implementation.",beginner,text,examples/LLM_rag_evals.mdx
how to install Evidently for RAG,"Instructions for installing Evidently, including the necessary import statements and setting the OpenAI key, are provided in the tutorial.",beginner,code,examples/LLM_rag_evals.mdx
multiple context retrieval RAG evaluation,"The article discusses how to evaluate the relevance of multiple contexts retrieved by a RAG system, with examples of how to implement this using Evidently.",intermediate,code,examples/LLM_rag_evals.mdx
evaluate context quality in RAG,"It shows how to assess overall context quality for single and multiple contexts using descriptors in Evidently, with code snippets provided for clarity.",intermediate,code,examples/LLM_rag_evals.mdx
generate structured reports for RAG,"The tutorial describes how to generate structured reports in Evidently to show RAG performance evaluation results, including code snippets for report creation.",beginner,code,examples/LLM_rag_evals.mdx
what are ground truth datasets in RAG,"The article explains the concept of ground truth datasets, how they are used in evaluating the RAG system, and methods to compare generated outputs against them.",intermediate,text,examples/LLM_rag_evals.mdx
faithfulness evaluation in RAG,"Instructions on evaluating faithfulness of generated responses in RAG systems are provided, along with code examples for this evaluation method.",intermediate,code,examples/LLM_rag_evals.mdx
relevance score aggregation methods,"The article discusses different aggregation methods for scoring relevance in RAG evaluations, comparing methods like hit rate and mean relevance with practical coding examples.",advanced,code,examples/LLM_rag_evals.mdx
using CorrectnessLLMEval in RAG,"It details how to use CorrectnessLLMEval for assessing generated responses in RAG evaluations, providing necessary code snippets for implementation.",intermediate,code,examples/LLM_rag_evals.mdx
how to upload RAG evaluation results,"The tutorial explains the procedure for uploading evaluation results to the Evidently Cloud platform, enhancing tracking and simplicity in sharing results.",beginner,code,examples/LLM_rag_evals.mdx
Evidently Cloud project setup,"Instructions on setting up a project in Evidently Cloud for RAG evaluations are provided, helping users manage their projects efficiently.",beginner,code,examples/LLM_rag_evals.mdx
overview of RAG evaluation methods,"The article provides an overview of various evaluation methods for RAG systems, highlighting their importance and practical implementation through code examples.",beginner,text,examples/LLM_rag_evals.mdx
customizing LLM descriptor prompts,"Instructions are provided on how to customize prompts for LLM descriptors in RAG evaluations, enhancing the specificity of evaluations in Evidently.",advanced,code,examples/LLM_rag_evals.mdx
regression testing LLM outputs,The article explains the method of comparing new and old outputs from LLM to ensure consistency and correctness through regression testing.,beginner,text,examples/LLM_regression_testing.mdx
create toy dataset for LLM,Learn how to create a toy dataset with questions and reference answers as a starting point for regression testing LLM outputs.,beginner,code,examples/LLM_regression_testing.mdx
Evidently Cloud setup for LLM,Instructions are provided for setting up and connecting to Evidently Cloud for running tests and tracking results of LLM outputs.,beginner,code,examples/LLM_regression_testing.mdx
analyze LLM output changes,The article covers techniques to analyze changes in LLM outputs by running evaluations and comparing responses to previous outputs.,intermediate,text,examples/LLM_regression_testing.mdx
import required Python modules for LLM testing,"To set up the regression testing environment, the article lists the necessary Python imports for using Evidently and LLM evaluation.",beginner,code,examples/LLM_regression_testing.mdx
define correctness judge for LLM,The article demonstrates how to implement a correctness judge using a binary classification template to evaluate LLM responses against reference answers.,intermediate,code,examples/LLM_regression_testing.mdx
maximum length check for LLM responses,Details are provided on how to set up a maximum length check to ensure LLM responses do not exceed a defined character limit.,intermediate,code,examples/LLM_regression_testing.mdx
view regression test reports,Learn how to generate and view reports on regression tests conducted on LLM outputs to assess performance and correctness over time.,intermediate,text,examples/LLM_regression_testing.mdx
run tests with LLM evaluator,Guidance is given on running tests using an LLM evaluator to check for correctness and style consistency in new responses generated from prompts.,intermediate,code,examples/LLM_regression_testing.mdx
monitoring dashboards for LLM testing,The article offers instructions on how to create monitoring dashboards to visualize LLM test results and track performance over time.,beginner,code,examples/LLM_regression_testing.mdx
install Evidently for LLM,The article includes the command to install the Evidently library to support regression testing for LLM outputs.,beginner,code,examples/LLM_regression_testing.mdx
